Time,Distance,Pant,Ppost,LongAcc,LatAcc,LoggerTemp,Battery,RPM,TPS1,TPS2,MAP1,MAP2,DFARF,DMAP,EFI_AE,EFI_DE,WHEELSPD,DRAXSSPD,SLIP,OSASLIP,TEROGBASE,TEROG,SABASE,SA,NTK1,NTK2,KFUELLEARN,CLC1,CLC2,GEARSHIFTT,OILPRESS,FUELPRESS,BATTVOLTDI,BATTVOLTKE,WATERTEMP,OILTEMP,FUELTEMP,AIRTEMP01,AIRTEMP02,KFUELCAL,FUELUSED,FUELLEFT,GPS_Speed,GPS_Nsat,GPS_LatAcc,GPS_LonAcc,GPS_Slope,GPS_Heading,GPS_Gyro,GPS_Latitude,GPS_Longitude,GPS_Elevation
0.000,0.000,0.000000,-0.043945,-0.175247,-0.040343,29.694244,13.612061,6407.399902,99.999985,0.000000,1.657100,1.654800,0.000000,0.000000,0.000000,0.000000,169.930008,0.000000,0.000000,0.000000,15960.000000,15960.000000,29.000000,29.000000,0.796094,0.810156,0.000000,0.000000,0.000000,0.000000,4.628100,4.619800,0.000000,13.582612,76.243141,105.168633,51.490200,52.117649,-10.000000,1.000000,2619.550049,0.000000,160.330002,9.100000,0.056531,0.261494,-0.355601,22.984039,0.752543,43.960860624714,12.683427120218,15.35
0.100,0.004,0.000000,0.000000,-0.205990,-0.036806,29.584381,13.612061,6449.700195,99.490181,0.000000,1.640700,1.660500,0.000000,0.000000,0.000000,0.000000,170.300003,0.000000,0.000000,0.000000,15939.000000,15939.000000,29.000000,29.000000,0.789063,0.791406,0.000000,0.000000,0.000000,0.000000,4.585300,4.612600,0.000000,13.540425,76.054901,105.513725,51.521572,52.149021,-10.000000,1.000000,2620.050049,0.000000,161.630005,10.000000,0.053854,0.281952,-0.360758,23.063108,0.697539,43.960898228186,12.683449100234,15.32
0.200,0.009,0.000000,-0.014648,-0.055938,-0.015965,29.584381,13.611511,6463.399902,85.725479,0.000000,1.532400,1.532400,0.000000,0.000000,0.000000,0.000000,170.940002,0.000000,0.000000,0.000000,14910.000000,14910.000000,28.299999,28.299999,0.788281,0.810156,0.000000,0.000000,0.000000,0.000000,4.620200,4.592600,0.000000,13.607222,76.996078,106.141182,51.835297,52.462749,-10.000000,1.000000,2620.550049,0.000000,162.910004,10.000000,0.043784,0.296036,-0.361331,23.130716,0.553154,43.960936413743,12.683471432915,15.28
0.300,0.014,0.000000,-0.131836,0.164910,-0.006183,29.584381,13.606567,6325.299805,6.509803,0.000000,0.505600,0.505600,9.400000,0.000000,0.000000,0.000000,168.570007,0.000000,0.000000,0.000000,6958.000000,6958.000000,22.000000,22.000000,0.777344,0.784375,0.000000,0.000000,0.000000,0.000000,4.818000,4.081900,0.000000,13.798823,77.749023,106.643143,52.086277,52.713730,-10.000000,1.000000,2621.050049,0.000000,164.040009,10.100000,0.029126,0.297375,-0.366487,23.184576,0.349181,43.960975177578,12.683494109626,15.25
0.400,0.018,0.000000,0.000000,0.087482,-0.014590,29.596588,13.608765,5858.000000,43.176464,0.000000,0.657700,0.657700,88.699997,0.000000,0.000000,0.000000,168.820007,0.000000,0.000000,0.000000,4613.000000,4624.500000,22.674999,22.674999,0.742188,0.742188,0.000000,0.000000,0.000000,0.000000,4.701900,3.820300,0.000000,13.949995,76.807846,106.015686,51.772552,52.400002,-10.000000,1.000000,2621.550049,0.000000,165.400009,11.000000,0.014786,0.280868,-0.366487,23.206348,0.168126,43.961014186937,12.683516931035,15.22
0.500,0.023,0.000000,0.000000,-0.238998,-0.025684,29.706451,13.628540,5130.700195,99.999985,0.000000,1.657400,1.657400,36.900002,0.000000,0.000000,0.000000,173.490005,0.000000,0.000000,0.000000,15358.000000,15461.500000,28.725000,28.725000,0.766406,0.766406,0.000000,0.000000,0.000000,0.000000,4.521101,4.630600,0.000000,13.860347,76.086273,105.513725,51.521572,52.180393,-10.000000,1.000000,2622.050049,0.000000,166.369995,11.000000,0.003633,0.253145,-0.366487,23.216660,0.014574,43.961052810885,12.683539514901,15.19
0.600,0.027,0.000000,-0.004883,-0.386000,-0.030209,29.706451,13.628540,5314.700195,99.999985,0.000000,1.686800,1.687100,0.000000,0.000000,0.000000,0.000000,173.545013,0.000000,0.000000,0.000000,16233.000000,16233.000000,28.500000,28.500000,0.974219,0.975781,0.000000,0.000000,0.000000,0.000000,4.286400,4.631000,0.000000,13.630074,77.341179,106.141182,51.835297,52.807846,-10.000000,1.000000,2622.550049,0.000000,167.080002,11.000000,-0.004334,0.222872,-0.366487,23.215513,-0.074808,43.961091560287,12.683562163665,15.17
0.700,0.032,0.000000,-0.043945,-0.286495,-0.033469,29.706451,13.628540,5380.600098,99.999985,0.000000,1.677700,1.681100,0.000000,0.000000,0.000000,0.000000,174.995010,0.000000,0.000000,0.000000,16177.000000,16177.000000,28.525000,28.525000,0.878906,0.893750,0.000000,0.000000,0.000000,0.000000,4.350500,4.821600,0.000000,13.693355,78.313728,106.611771,52.117649,53.309807,-10.000000,1.000000,2623.050049,0.000000,167.860001,11.000000,-0.009114,0.196232,-0.366487,23.204056,-0.138979,43.961130726492,12.683585049423,15.14
0.800,0.037,0.000000,0.000000,-0.207127,-0.037307,29.706451,13.629089,5426.000000,99.999985,0.000000,1.693300,1.699800,0.000000,0.000000,0.000000,0.000000,176.180008,0.000000,0.000000,0.000000,16261.000000,16261.000000,28.725000,28.725000,0.841406,0.850000,0.000000,0.000000,0.000000,0.000000,4.323100,4.751400,0.000000,13.689839,76.745102,105.670593,52.117649,52.682354,-10.000000,1.000000,2623.550049,0.000000,168.430008,11.000000,-0.010898,0.177813,-0.366487,23.191450,-0.157314,43.961170312669,12.683608175098,15.12
0.900,0.041,0.002441,0.000000,-0.221313,-0.035801,29.706451,13.634033,5385.399902,99.999985,0.000000,1.695200,1.696500,0.000000,0.000000,0.000000,0.000000,175.190002,0.000000,0.000000,0.000000,16429.000000,16429.000000,28.525000,28.525000,0.819531,0.835156,0.000000,0.000000,0.000000,0.000000,4.286400,4.711600,0.000000,13.656441,75.490196,104.917648,52.117649,52.180393,-10.000000,1.000000,2624.050049,0.000000,168.770004,11.000000,-0.011472,0.172906,-0.366487,23.169678,-0.136687,43.961210004798,12.683631357336,15.09
1.000,0.046,0.021973,0.000000,-0.255573,-0.027033,29.706451,13.634033,5430.100098,99.999985,0.000000,1.688800,1.684300,0.000000,0.000000,0.000000,0.000000,176.210007,0.000000,0.000000,0.000000,16226.000000,16226.000000,28.750000,28.750000,0.812500,0.828125,0.000000,0.000000,0.000000,0.000000,4.349300,4.647501,0.000000,13.640620,77.058823,105.858826,52.117649,52.807846,-10.000000,1.000000,2624.550049,0.000000,169.460007,11.000000,-0.011599,0.181956,-0.366487,23.158218,-0.138979,43.961249256075,12.683654268507,15.07
1.100,0.051,0.000000,0.000000,-0.307375,-0.022331,29.706451,13.634033,5477.899902,99.999985,0.000000,1.698600,1.698600,0.000000,0.000000,0.000000,0.000000,178.059998,0.000000,0.000000,0.000000,16100.000000,16100.000000,28.775000,28.775000,0.813281,0.827344,0.000000,0.000000,0.000000,0.000000,4.316000,4.657800,0.000000,13.638863,78.470589,106.768631,52.117649,53.341179,-10.000000,1.000000,2625.050049,0.000000,170.059998,11.000000,-0.013192,0.198335,-0.365914,23.146759,-0.161897,43.961288674138,12.683677258330,15.04
1.200,0.056,0.000000,0.000000,-0.335511,-0.038500,29.706451,13.634033,5498.899902,99.999985,0.000000,1.720100,1.720100,0.000000,0.000000,0.000000,0.000000,177.889999,0.000000,0.000000,0.000000,16135.000000,16135.000000,29.000000,29.000000,0.820313,0.820313,0.000000,0.000000,0.000000,0.000000,4.318400,4.570000,0.000000,13.624800,78.470589,107.396080,52.117649,53.027454,-10.000000,1.000000,2625.550049,0.000000,170.690002,11.000000,-0.017909,0.218857,-0.360758,23.134153,-0.191691,43.961328611829,12.683700521758,15.01
1.300,0.060,0.000000,-0.007324,-0.267646,-0.068636,29.706451,13.634033,5538.600098,99.999985,0.000000,1.703700,1.703500,0.000000,0.000000,0.000000,0.000000,179.730011,0.000000,0.000000,0.000000,16443.000000,16443.000000,29.000000,29.000000,0.818750,0.820313,0.000000,0.000000,0.000000,0.000000,4.352200,4.771600,0.000000,13.644135,78.407845,107.898041,52.117649,52.745102,-10.000000,1.000000,2626.100098,0.000000,171.610001,11.000000,-0.025302,0.239952,-0.360758,23.110090,-0.287948,43.961369108072,12.683724070165,14.98
1.400,0.065,0.000000,-0.065918,-0.178182,-0.089456,29.706451,13.634583,5579.299805,99.999985,0.000000,1.707300,1.707000,0.000000,0.000000,0.000000,0.000000,180.910004,0.000000,0.000000,0.000000,16387.000000,16387.000000,29.000000,29.000000,0.806250,0.821875,0.000000,0.000000,0.000000,0.000000,4.459600,4.800400,0.000000,13.672261,77.780396,107.270592,52.117649,52.745102,-10.000000,1.000000,2627.100098,0.000000,172.690002,11.000000,-0.036391,0.255184,-0.360758,23.074568,-0.427750,43.961409858709,12.683747713483,14.95
1.500,0.070,0.002441,0.002441,-0.183163,-0.100390,29.706451,13.639526,5575.000000,99.999985,0.000000,1.686200,1.699700,0.000000,0.000000,0.000000,0.000000,181.029999,0.000000,0.000000,0.000000,16443.000000,16443.000000,29.000000,29.000000,0.819531,0.834375,0.000000,0.000000,0.000000,0.000000,4.441700,4.770400,0.000000,13.633589,77.309807,106.831375,52.117649,52.776474,-10.000000,1.000000,2628.050049,0.000000,173.589996,11.000000,-0.049775,0.263469,-0.360758,23.027584,-0.588178,43.961450294198,12.683771075784,14.92
1.600,0.075,0.021973,0.021973,-0.249312,-0.102274,29.706451,13.639526,5602.500000,99.999985,0.000000,1.712300,1.712100,0.000000,0.000000,0.000000,0.000000,181.660004,0.000000,0.000000,0.000000,16380.000000,16380.000000,29.000000,29.000000,0.812500,0.821094,0.000000,0.000000,0.000000,0.000000,4.477400,4.787100,0.000000,13.577339,78.250984,108.086281,52.117649,53.090199,-10.000000,1.000000,2628.550049,0.000000,174.500015,11.000000,-0.063031,0.265509,-0.360758,22.967999,-0.746314,43.961490957324,12.683794484903,14.88
