Time,Distance,AccelerometerY,RPM,GPS_Speed,GPS_LatAcc,GPS_LonAcc
0.000,0.000,-0.287144,4458.858887,26.115000,-0.720397,-0.002740
0.020,0.000,-0.316117,4474.781738,26.097500,-0.748376,-0.010930
0.040,0.000,-0.345835,4534.054199,26.087500,-0.756661,-0.013862
0.060,0.000,-0.375515,4556.266602,26.077499,-0.764946,-0.016793
0.080,0.001,-0.404528,4510.767090,26.067499,-0.773232,-0.019725
0.100,0.001,-0.433017,4409.538086,26.057499,-0.781517,-0.022657
0.120,0.001,-0.461124,4174.995117,26.047499,-0.783429,-0.024473
0.140,0.001,-0.488223,4153.180664,26.037498,-0.766221,-0.022943
0.160,0.001,-0.513554,4191.037109,26.027500,-0.749013,-0.021414
0.180,0.001,-0.536538,4311.174805,26.017500,-0.731806,-0.019884
0.200,0.001,-0.557086,4425.420898,26.007500,-0.714598,-0.018355
0.220,0.002,-0.575704,4508.219238,25.995001,-0.694554,-0.015901
0.240,0.002,-0.591978,4613.627930,25.975000,-0.666002,-0.010675
0.260,0.002,-0.604728,4608.931152,25.955000,-0.637450,-0.005449
0.280,0.002,-0.614609,4535.566406,25.934999,-0.608898,-0.000223
0.300,0.002,-0.623453,4402.770508,25.914999,-0.580346,0.005003
0.320,0.002,-0.631100,4377.812012,25.910000,-0.552622,0.011249
0.340,0.002,-0.635906,4316.190430,25.950001,-0.527384,0.020554
0.360,0.003,-0.637461,4323.634766,25.990000,-0.502146,0.029859
0.380,0.003,-0.637018,4427.570313,26.030001,-0.476908,0.039164
0.400,0.003,-0.636041,4526.809082,26.070000,-0.451670,0.048469
0.420,0.003,-0.634869,4688.067383,26.110001,-0.428631,0.057168
0.440,0.003,-0.633029,4750.125977,26.150002,-0.412188,0.064051
0.460,0.003,-0.630927,4781.175781,26.190001,-0.395745,0.070934
0.480,0.003,-0.629506,4785.992188,26.230001,-0.379302,0.077817
0.500,0.004,-0.628157,4758.963379,26.270000,-0.362859,0.084700
0.520,0.004,-0.625561,4708.289063,26.315001,-0.345779,0.088269
0.540,0.004,-0.622105,4662.789551,26.375000,-0.326787,0.081896
0.560,0.004,-0.618945,4641.453125,26.435001,-0.307795,0.075523
0.580,0.004,-0.615993,4622.544922,26.495001,-0.288803,0.069150
0.600,0.004,-0.612370,4611.239746,26.555000,-0.269810,0.062776
0.620,0.005,-0.607461,4638.109375,26.605000,-0.247281,0.054013
0.640,0.005,-0.601311,4676.204590,26.625000,-0.214140,0.038080
0.660,0.005,-0.593829,4687.788574,26.645000,-0.180999,0.022147
0.680,0.005,-0.582753,4718.917480,26.665001,-0.147859,0.006214
0.700,0.005,-0.565472,4760.555664,26.685001,-0.114718,-0.009719
0.720,0.005,-0.543823,4764.695313,26.685001,-0.079793,-0.023963
0.740,0.005,-0.521907,4756.893555,26.625000,-0.039514,-0.033141
0.760,0.006,-0.499825,4721.704102,26.565001,0.000765,-0.042318
0.780,0.006,-0.475165,4725.008301,26.504999,0.041044,-0.051496
0.800,0.006,-0.447883,4720.470215,26.445000,0.081323,-0.060673
0.820,0.006,-0.419161,4701.402832,26.389999,0.118287,-0.064975
0.840,0.006,-0.389013,4710.597656,26.350000,0.145310,-0.054650
0.860,0.006,-0.357307,4687.987305,26.309999,0.172332,-0.044326
0.880,0.006,-0.324205,4628.794922,26.270000,0.199355,-0.034001
0.900,0.007,-0.289306,4582.539063,26.230001,0.226377,-0.023676
0.920,0.007,-0.252135,4552.206055,26.205000,0.247281,-0.011854
0.940,0.007,-0.212698,4529.993652,26.225000,0.249831,0.004461
0.960,0.007,-0.170745,4509.214355,26.245001,0.252380,0.020777
0.980,0.007,-0.125811,4451.653320,26.265001,0.254929,0.037092
1.000,0.007,-0.078366,4456.470215,26.285002,0.257478,0.053408
1.020,0.007,-0.029381,4444.647461,26.320002,0.256777,0.065899
1.040,0.008,0.021449,4381.991211,26.400002,0.246325,0.066919
1.060,0.008,0.075368,4287.170898,26.480001,0.235873,0.067939
1.080,0.008,0.132509,4230.605469,26.560001,0.225421,0.068958
1.100,0.008,0.191857,4233.471680,26.640001,0.214969,0.069978
1.120,0.008,0.252739,4340.552246,26.710001,0.204613,0.066314
1.140,0.008,0.314901,4575.970703,26.750000,0.194543,0.048596
1.160,0.008,0.377758,4716.608398,26.790001,0.184473,0.030878
1.180,0.009,0.440373,4745.030762,26.830000,0.174403,0.013161
1.200,0.009,0.501666,4793.476074,26.869999,0.164334,-0.004557
1.220,0.009,0.560137,4795.665527,26.885000,0.156017,-0.023198
1.240,0.009,0.615097,4732.929688,26.825001,0.152958,-0.044612
1.260,0.009,0.669166,4680.065918,26.764999,0.149898,-0.066026
1.280,0.009,0.724712,4663.545898,26.705000,0.146839,-0.087441
1.300,0.010,0.776613,4613.508789,26.645000,0.143780,-0.108855
1.320,0.010,0.816842,4550.135742,26.570000,0.142378,-0.126508
1.340,0.010,0.845315,4514.708008,26.450001,0.145947,-0.132882
1.360,0.010,0.867242,4488.833008,26.330000,0.149516,-0.139255
1.380,0.010,0.884556,4410.413574,26.210001,0.153085,-0.145628
1.400,0.010,0.896617,4376.856445,26.090000,0.156654,-0.152001
1.420,0.010,0.903409,4379.404297,25.965000,0.161561,-0.152639
1.440,0.011,0.905288,4392.818848,25.825001,0.170484,-0.136068
