Time,Distance,RPM,GPS_Speed,GPS_LatAcc,GPS_LonAcc
0.000,0.000,5233.995117,30.514000,0.795009,-0.012173
0.050,0.004,5186.135254,30.440001,0.787756,-0.014276
0.100,0.007,5135.335449,30.356667,0.784251,-0.019056
0.150,0.011,5215.650879,30.273333,0.794512,-0.034849
0.200,0.014,5289.740234,30.189999,0.810126,-0.054924
0.250,0.018,5225.752441,30.106667,0.829641,-0.058710
0.300,0.022,5166.801758,30.023333,0.850673,-0.056161
0.350,0.025,5232.654785,29.927999,0.852661,-0.022867
0.400,0.029,5305.655762,29.828001,0.847244,0.022383
0.450,0.032,5304.626953,30.052000,0.834714,0.048360
0.500,0.036,5213.838867,30.402000,0.819419,0.066843
0.550,0.040,5135.348633,30.608000,0.841521,0.027278
0.600,0.043,5089.194336,30.758001,0.878167,-0.034861
0.650,0.047,5050.825684,30.548000,0.929497,-0.095853
0.700,0.051,5023.341797,30.198000,0.986537,-0.156399
0.750,0.054,4983.101074,29.812000,0.976812,-0.152014
0.800,0.058,4958.052734,29.412001,0.941122,-0.122379
0.850,0.061,4988.052734,29.228001,0.860921,-0.069570
0.900,0.065,5058.033691,29.128000,0.763411,-0.007750
0.950,0.068,5163.396973,29.208000,0.700775,0.032045
1.000,0.072,5298.567383,29.358000,0.651701,0.063274
1.050,0.075,5261.824707,29.507999,0.668475,0.066970
1.100,0.079,5099.867188,29.658001,0.710857,0.059959
1.150,0.082,5013.359863,29.772001,0.786048,0.043771
1.200,0.086,5068.872070,29.872000,0.873999,0.024014
1.250,0.089,5113.930664,29.917999,0.934647,0.022612
1.300,0.093,5127.205078,29.943001,0.984676,0.028348
1.350,0.097,5134.997070,29.968000,0.974364,0.047621
1.400,0.100,5111.282715,29.993000,0.940586,0.072158
1.450,0.104,5149.153809,30.143999,0.875146,0.082929
1.500,0.107,5195.500488,30.344000,0.797393,0.088346
1.550,0.111,5184.774902,30.507999,0.728128,0.085733
1.600,0.115,5192.779297,30.658001,0.662166,0.079997
1.650,0.118,5232.236816,30.772001,0.626488,0.088486
1.700,0.122,5248.570801,30.872000,0.602589,0.102507
1.750,0.126,5176.445801,31.044001,0.613563,0.123641
1.800,0.130,5107.612305,31.244001,0.638100,0.147540
1.850,0.133,5158.857422,31.660000,0.686269,0.140466
1.900,0.137,5262.886719,32.160000,0.743628,0.121346
1.950,0.141,5254.875977,32.371998,0.798693,0.046933
2.000,0.145,5178.197754,32.472000,0.852865,-0.048984
2.050,0.149,5198.739258,32.139999,0.901761,-0.143295
2.100,0.153,5221.683594,31.639999,0.948604,-0.236982
2.150,0.156,5154.098633,31.068001,1.015867,-0.257708
2.200,0.160,5133.417480,30.468000,1.091071,-0.250060
2.250,0.163,5189.925293,30.156000,1.152050,-0.189412
2.300,0.167,5238.283203,29.955999,1.207497,-0.108153
2.350,0.171,5229.927246,29.864000,1.200308,-0.036302
2.400,0.174,5205.694824,29.814001,1.168761,0.031892
2.450,0.178,5200.816895,29.944000,1.107845,0.066129
2.500,0.181,5214.728027,30.144001,1.035509,0.087160
2.550,0.185,5223.349609,30.272001,0.981987,0.091673
2.600,0.189,5208.329590,30.372000,0.935781,0.089761
2.650,0.192,5199.695313,30.507999,0.911372,0.087849
2.700,0.196,5212.192383,30.658001,0.895438,0.085937
2.750,0.200,5259.807129,30.844000,0.881111,0.075765
2.800,0.203,5281.556641,31.044001,0.867409,0.062381
2.850,0.207,5250.508301,31.136000,0.861049,0.039132
2.900,0.211,5229.874023,31.186001,0.857543,0.012046
2.950,0.215,5251.703125,31.128000,0.868492,-0.010911
3.000,0.218,5272.118652,31.028000,0.885063,-0.032261
3.050,0.222,5257.305176,30.946001,0.890620,-0.041451
3.100,0.226,5224.710449,30.871000,0.891895,-0.045913
3.150,0.229,5191.850098,30.796001,0.869308,-0.041426
3.200,0.233,5217.409668,30.721001,0.837442,-0.033459
3.250,0.237,5208.615723,30.664001,0.822784,-0.027099
3.300,0.240,5215.743652,30.614000,0.814817,-0.021363
3.350,0.244,5213.752441,30.582001,0.848608,-0.023428
3.400,0.248,5160.655762,30.556999,0.898638,-0.028526
3.450,0.251,5129.289063,30.532000,0.955551,-0.033166
3.500,0.255,5147.103027,30.507000,1.015140,-0.037627
3.550,0.259,5167.544922,30.427999,1.039397,-0.039794
3.600,0.262,5144.740234,30.328001,1.049913,-0.041069
3.650,0.266,5109.729492,30.264002,1.028537,-0.054045
3.700,0.269,5073.252441,30.214001,0.994759,-0.071571
3.750,0.273,5031.810547,30.092001,0.969699,-0.090245
3.800,0.277,5040.445313,29.941999,0.948030,-0.109364
3.850,0.280,5037.969727,29.684000,0.925444,-0.102558
3.900,0.284,5018.111816,29.384001,0.902500,-0.085669
3.950,0.287,5033.244141,29.264002,0.852253,-0.051343
4.000,0.291,5072.336914,29.214001,0.791389,-0.010235
4.050,0.294,5120.999512,29.236000,0.733966,0.016876
4.100,0.298,5126.780762,29.286001,0.677882,0.038545
4.150,0.301,5076.650879,29.408001,0.684434,0.039106
4.200,0.305,5046.491699,29.558001,0.715344,0.031458
4.250,0.308,5078.641602,29.564001,0.792371,0.018992
4.300,0.312,5060.217285,29.514000,0.887332,0.004653
4.350,0.315,5049.757324,29.608000,0.955219,-0.007163
4.400,0.319,5131.519043,29.758001,1.012578,-0.017998
