Time,Distance,RPM,GPS_Speed,GPS_LatAcc,GPS_LonAcc
0.000,0.000,5677.347656,31.403999,0.621441,0.297324
0.050,0.000,5757.313965,32.104000,0.797660,0.243789
0.100,0.001,5840.459473,32.444000,0.837595,0.160656
0.150,0.001,5870.030273,32.644001,0.824530,0.066014
0.200,0.002,5902.793457,32.484001,0.724508,0.003263
0.250,0.002,5889.371582,32.184002,0.590671,-0.047085
0.300,0.003,5824.935547,31.956001,0.459816,-0.018737
0.350,0.003,5790.343262,31.756001,0.330121,0.040215
0.400,0.004,5886.531250,32.096001,0.258702,0.124864
0.450,0.004,6020.544434,32.646000,0.209947,0.219507
0.500,0.005,6085.339355,33.231998,0.205014,0.248989
0.550,0.005,6144.720703,33.832001,0.217123,0.253132
0.600,0.006,6204.879883,34.180000,0.214778,0.210240
0.650,0.006,6372.148438,34.430000,0.206811,0.149057
0.700,0.007,6564.318848,34.535999,0.182784,0.109212
0.750,0.007,6660.001465,34.586002,0.152511,0.077664
0.800,0.008,6680.034668,34.708000,0.139905,0.086498
0.850,0.008,6748.840332,34.858002,0.134169,0.111035
0.900,0.009,6818.843262,35.116001,0.155736,0.142455
0.950,0.009,6868.999023,35.416000,0.187921,0.176551
1.000,0.010,6920.085938,35.824001,0.242132,0.189310
1.050,0.010,6984.022949,36.274002,0.304908,0.193772
1.100,0.011,7070.155273,36.580002,0.401411,0.179419
1.150,0.011,7052.290527,36.830002,0.511031,0.157750
1.200,0.012,6938.948730,37.080002,0.633958,0.132181
1.250,0.012,6888.945801,37.330002,0.762060,0.105095
1.300,0.013,6786.844238,37.544003,0.834867,0.064472
1.350,0.013,6557.128906,37.743999,0.886172,0.018584
1.400,0.014,6450.052734,37.692001,0.822299,-0.071584
1.450,0.014,6514.894043,37.542000,0.713636,-0.178973
1.500,0.015,6534.242188,36.959999,0.523064,-0.329725
1.550,0.015,6366.155762,36.209999,0.300638,-0.497341
1.600,0.016,6216.459473,35.099998,0.111251,-0.644078
1.650,0.016,6143.164063,33.849998,-0.065287,-0.782696
1.700,0.017,5966.397949,32.312000,-0.157622,-0.845370
1.750,0.017,5782.647949,30.662001,-0.217212,-0.878511
1.800,0.017,5715.465332,28.976002,-0.221967,-0.801522
1.850,0.018,5629.107422,27.276001,-0.205396,-0.681706
1.900,0.018,5432.633789,26.368000,-0.180107,-0.474933
1.950,0.019,5329.075684,25.768000,-0.151428,-0.234343
2.000,0.019,5366.215820,25.924000,-0.152345,-0.032299
2.050,0.019,5328.138184,26.374001,-0.164773,0.154755
2.100,0.020,5193.719727,26.823999,-0.198080,0.219978
2.150,0.020,5174.584473,27.274000,-0.239506,0.237823
2.200,0.021,5204.627441,27.507999,-0.260971,0.196933
2.250,0.021,5147.148438,27.658001,-0.274673,0.133201
2.300,0.021,5042.426758,27.844000,-0.263367,0.083464
2.350,0.022,5009.331055,28.044001,-0.242335,0.039170
2.400,0.022,5008.326660,28.028000,-0.214880,0.016902
2.450,0.022,4997.864746,27.927999,-0.184925,0.003200
2.500,0.023,4929.763672,27.935999,-0.160248,0.010835
2.550,0.023,4852.537598,27.986000,-0.137623,0.026768
2.600,0.024,4860.805176,28.035999,-0.125782,0.038112
2.650,0.024,4912.996582,28.086000,-0.118134,0.047672
2.700,0.024,4889.338379,28.280001,-0.136412,0.030847
2.750,0.025,4772.405273,28.530001,-0.164773,0.003760
2.800,0.025,4677.494141,28.456001,-0.214013,-0.034798
2.850,0.026,4674.973145,28.256001,-0.271372,-0.077817
2.900,0.026,4842.202148,27.984001,-0.304411,-0.090092
2.950,0.026,5101.654785,27.684000,-0.327992,-0.090410
3.000,0.027,5386.335449,27.564001,-0.289854,-0.069621
3.050,0.027,5230.759766,27.514000,-0.227715,-0.040623
3.100,0.028,4928.459961,27.572001,-0.139879,-0.039616
3.150,0.028,4720.952637,27.672001,-0.042050,-0.049494
3.200,0.028,4694.813477,27.556002,0.002320,-0.089200
3.250,0.029,4752.026367,27.356001,0.025901,-0.140504
3.300,0.029,4787.955566,26.904001,-0.021184,-0.164964
3.350,0.030,4790.542969,26.354000,-0.095751,-0.178986
3.400,0.030,4769.206055,26.092001,-0.197391,-0.153544
3.450,0.030,4708.128906,25.941999,-0.309560,-0.112755
3.500,0.031,4629.180176,25.827999,-0.413240,-0.074720
3.550,0.031,4548.249512,25.728001,-0.513618,-0.037755
